"Name","Gross Export","Share","Code","Sector"
"Industrial electric furnaces","1389888","0.027935545367406736","8514","Electronics"
"Electric soldering machines","1814576","0.036471406451892126","8515","Electronics"
"Electric heaters","3151319","0.06333878333482326","8516","Electronics"
"Telephones","19096939","0.38383193884190603","8517","Electronics"
"Microphones","24055021","0.4834850940934966","8518","Electronics"
"Sound reproducing apparatus","1117989","0.022470610890778026","8519","Electronics"
"Magnetic tape recorders","676455","0.013596159792378324","8520","Electronics"
"Video recording apparatus","28648897","0.5758180240923461","8521","Electronics"
"Parts and accessories for video or sound equipment","608676","0.01223386057873128","8522","Electronics"
"Sound storage media","160518167","3.226276172268176","8523","Electronics"
"Tapes, cassettes, records and compact disks","201619","0.004052367328469041","8524","Electronics"
"Transmission apparatus for radio, telephone and TV","235310161","4.72953049312411","8525","Electronics"
"Radar","63167901","1.269620116260704","8526","Electronics"
"Reception apparatus for radio broadcasting","6684547","0.13435360689426962","8527","Electronics"
"Monitors and projectors","22789564","0.45805050408768144","8528","Electronics"
"Parts of radios, telephones, and T.V.s","363519139","7.306419941358682","8529","Electronics"
"Electric signal and traffic controls","59381","0.0011935066850436722","8530","Electronics"
"Electric sound or visual signaling apparatus","34826801","0.6999885453627532","8531","Electronics"
"Electrical capacitors","46951685","0.9436882154487918","8532","Electronics"
"Electrical resistors","33616351","0.6756595484292035","8533","Electronics"
"Electronic printed circuits","115737032","2.326214132451683","8534","Electronics"
"Electrical apparatus for > 1k volts","527489","0.010602072174382405","8535","Electronics"
"Electrical apparatus for < 1k volts","93195617","1.8731512084045352","8536","Electronics"
"Electrical boards","15038029","0.3022513622434888","8537","Electronics"
"Parts for electrical apparatus","23431278","0.4709483998605063","8538","Electronics"
"Electrical filament","2553289","0.05131889813826768","8539","Electronics"
"Thermionic, cold cathode or photocathode tubes","455584","0.009156843933226728","8540","Electronics"
"Semiconductor devices","149998190","3.014833743275642","8541","Electronics"
"Electronic integrated circuits","1594578029","32.04963771972958","8542","Electronics"
"Electrical machines with individual functions n.e.c.","50270313","1.01038976481935","8543","Electronics"
"Insulated electrical wire","27544330","0.553617183780148","8544","Electronics"
"Carbon articles for eletrical purposes","535154","0.010756132037652806","8545","Electronics"
"Electrical insulators of any material","168252","0.0033817195192396205","8546","Electronics"
"Insulating fittings for electrical machines","1342057","0.026974183681811616","8547","Electronics"
"Waste and scrap of batteries","36919628","0.7420525559914037","8548","Electronics"
"Optical fibers","3823556","0.07685016497935102","9001","Machinery"
"Lenses and other optical elements","6433622","0.12931023165733216","9002","Machinery"
"Frames for spectacles, goggles","934918","0.018791042302548962","9003","Machinery"
"Glasses","20643744","0.4149213800429464","9004","Machinery"
"Binoculars and telescopes","831304","0.016708490616586868","9005","Machinery"
"Photographic cameras","785459","0.015787045811416406","9006","Machinery"
"Cinematographic cameras and projectors","165704","0.00333050692542188","9007","Machinery"
"Still image projectors","26581","0.0005342550848780898","9008","Machinery"
"Electrostatic photo-copyers","120579","0.0024235334968404194","9009","Machinery"
"Apparatus and equipment for photographic laboratories, n.e.c.","7123353","0.14317322755470432","9010","Machinery"
"Optical microscopes","944222","0.018978044646693493","9011","Machinery"
"Microscopes, other than optical","1196789","0.024054422661907535","9012","Machinery"
"Liquid crystal devices","30823757","0.6195308269928375","9013","Machinery"
"Navigational instruments","2190946","0.04403611757245067","9014","Machinery"
"Surveying instruments","2612687","0.052512746508591925","9015","Machinery"
"Balances of a sensitivity < 50 milligram","1082642","0.021760166795928855","9016","Machinery"
"Drafting tables and machines","1340449","0.02694186427409618","9017","Machinery"
"Medical instruments","30661807","0.61627577221702","9018","Machinery"
"Therapy applicances","4822974","0.09693760143466461","9019","Machinery"
"Other breathing appliances and gas masks","2694455","0.054156212509882756","9020","Machinery"
"Orthopedic appliances","6228929","0.12519607959048173","9021","Machinery"
"X-ray machines","3624922","0.07285779356632387","9022","Machinery"
"Instruments designed for demonstrational purposes","707646","0.01422307188569432","9023","Machinery"
"Machines for testing the mechanical properties of materials","388226","0.007803006455057421","9024","Machinery"
"Thermometers, hydrometers etc.","2396525","0.04816807747215922","9025","Machinery"
"Instruments for measuring properties of liquids or gases","5778110","0.11613500803148637","9026","Machinery"
"Instruments for physical or chemical analysis","12853620","0.25834663271098574","9027","Machinery"
"Gas, liquid or electricity meters","170181","0.0034204907490176517","9028","Machinery"
"Meters","3156335","0.06343960059172662","9029","Machinery"
"Instruments for measuring electricity","40447780","0.8129653563458976","9030","Machinery"
"Measuring instruments","19194173","0.3857862580519822","9031","Machinery"
"Automatic regulating instruments","2542178","0.05109557665871158","9032","Machinery"
"Other parts for machines and appliances","1906824","0.03832551137908952","9033","Machinery"
"Watches with precious metal","139083","0.0027954478751777345","9101","Machinery"
"Watches","744505","0.014963905871380394","9102","Machinery"
"Clocks with watch movements","100174","0.0020134106644813126","9103","Machinery"
"Instrument panel clocks for vehicles","78230","0.0015723552646632168","9104","Machinery"
"Other clocks","696226","0.013993539773685448","9105","Machinery"
"Apparatus for measuring intervals of time","200252","0.004024891812084092","9106","Machinery"
"Time switches","365283","0.007341872020222086","9107","Machinery"
"Watch movements, complete","3739","0.00007515066259204611","9108","Machinery"
"Watch cases and parts","7696","0.00015468293642909516","9111","Machinery"
"Clock cases","32251","0.0006482171755164694","9112","Machinery"
"Watch straps","460936","0.009264414499204966","9113","Machinery"
"Other clock or watch parts","467412","0.009394576491969366","9114","Machinery"
"Pianos","1861","0.00003740448865573624","9201","Machinery"
"Musical instruments, string","30345","0.0006099082258239207","9202","Machinery"
"Musical instruments, wind","4462195","0.0896862559146604","9205","Machinery"
"Musical instruments, percussion","2107144","0.04235176993229591","9206","Machinery"
"Musical instruments, electric","532673","0.01070626608582321","9207","Machinery"
"Other musical instruments, n.e.c.","72388","0.0014549361229507982","9208","Machinery"
"Parts of musical instruments","5543479","0.11141912808641165","9209","Machinery"
"Other arms (air guns, truncheons, etc.)","8160708","0.1640231648623192","9304","Machinery"
"Parts of military weapons","2482213","0.049890332079323495","9305","Machinery"
"Munitions of war","391429","0.007867383981744322","9306","Machinery"
"Swords","227477","0.004572090739355676","9307","Machinery"
"Toys","12932162","0.2599252589055042","9503","Machinery"
"Games","5743752","0.11544444198031292","9504","Machinery"
"Christmas and other festivity articles","698011","0.014029416728145682","9505","Machinery"
"Sports equipment","60519476","1.2163890668958097","9506","Machinery"
"Fishing and hunting equipment","699615","0.014061655739324509","9507","Machinery"
"Fairground amusements","684224","0.013752309965600472","9508","Machinery"
"Worked animal carving material","7557","0.00015188915678205202","9601","Machinery"
"Brooms and mops","3170076","0.06371578279410088","9603","Machinery"
"Hand sieves and riddles","43673","0.0008777894857936426","9604","Machinery"
"Travel sets","2660","0.00005346369684269662","9605","Machinery"
"Buttons","190366","0.003826191771863453","9606","Machinery"
"Slide fasteners","2266124","0.04554713027968385","9607","Machinery"
"Pens","4786614","0.09620679691692009","9608","Machinery"
"Pencils, crayons, pastels, etc.","1282537","0.025777883217120903","9609","Machinery"
"Slates and boards, with writing or drawing surfaces","1353626","0.027206710564809045","9610","Machinery"
"Hand-operated stamps","215429","0.004329936371099733","9611","Machinery"
"Typewriter ribbons and ink pads","237763","0.004778830433236871","9612","Machinery"
"Cigarette lighters","80310","0.0016141614636981075","9613","Machinery"
"Combs, hair-slides etc.","1933146","0.03885456078822241","9615","Machinery"
"Scent sprays","68591","0.0013786197105779714","9616","Machinery"
"Vacuum vessels","409202","0.00822460589301697","9617","Machinery"
"Mannequins","17085","0.00034339370697649313","9618","Machinery"
